ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer
1,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp trong môi trường số là gì?,Khóa công khai (public key) của người gửi.,"An toàn thiết bị, an toàn dữ liệu, an toàn mạng.",Giao tiếp thông qua các nền tảng công nghệ số,Nội dung đã lỗi thời và không còn phù hợp.,C,Giao tiếp thông qua các nền tảng công nghệ số
2,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp ngoại tuyến (offline) là hình thức giao tiếp nào?,Phục hồi hệ thống nhanh nhất có thể sau khi một cuộc tấn công xảy ra.,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người",Tạo ra một chu trình sản xuất và tiêu dùng liên tục không có điểm dừng.,Cảnh cáo và gửi thông báo yêu cầu kỷ luật về địa phương hoặc cơ quan chủ quản,B,"Giao tiếp không sử dụng Internet, có sự tương tác trực tiếp của con người"
3,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Đâu là một ví dụ về giao tiếp trực tuyến?,Các cuộc họp mặt trực tiếp,Luôn chọn video dài nhất,Nghe đài phát thanh,Gửi thư điện tử (E-mail),D,Gửi thư điện tử (E-mail)
4,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Tương tác thông qua công nghệ số bao gồm hoạt động nào sau đây?,Hợp tác qua nền tảng số như Google Docs,Chỉ bao gồm các cuộc trò chuyện thông thường,Chỉ bao gồm việc tham gia các diễn đàn,Chấp nhận rủi ro (Risk acceptance).,A,Hợp tác qua nền tảng số như Google Docs
5,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một trong những ý nghĩa của việc tương tác hiệu quả qua công nghệ số là gì?,Có kỹ năng máy tính tiên tiến và tự viết các công cụ tấn công.,Nhấp vào liên kết để kiểm tra xem trang web có hợp pháp không.,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số,Tập hợp số liệu bán hàng chi tiết được ghi nhận theo tháng,C,Phát triển kỹ năng giao tiếp chuyên nghiệp trên không gian số
6,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) chủ yếu đề cập đến điều gì?",Các thành viên làm việc cùng nhau tại cùng một thời điểm,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến,Khả năng kiếm tiền và phát triển sự nghiệp trong môi trường số.,Có kỹ năng máy tính tiên tiến và tự viết các công cụ tấn công.,B,Các tiêu chuẩn ứng xử và giao tiếp có trách nhiệm trực tuyến
7,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Một địa chỉ e-mail bao gồm hai phần là tên miền và tên địa phương, được phân tách bằng ký hiệu nào?",#,&,$,@,D,@
8,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Giao tiếp hiệu quả trên nền tảng số yêu cầu kỹ năng nào sau đây?,Phát tán thông tin chưa kiểm chứng,"Kỹ năng lắng nghe, phản hồi đúng lúc",Khả năng tự động cập nhật hệ điều hành.,Để áp dụng định dạng cho toàn bảng,B,"Kỹ năng lắng nghe, phản hồi đúng lúc"
9,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Tại sao tài khoản email được coi là ""chìa khóa"" để nhận dạng người dùng trực tuyến?","Sử dụng tính năng ""Comment"" hoặc ""Suggesting"" để đề xuất sửa đổi và tag người liên quan",Chỉ quan tâm đến quyền riêng tư của bản thân mà không tôn trọng quyền riêng tư của người khác.,Tăng cường khả năng lưu trữ dữ liệu trên các thiết bị cá nhân như điện thoại và máy tính.,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác",D,"Vì nó thường được dùng như ""thông tin đăng nhập"" để kết nối với các dịch vụ trực tuyến khác"
10,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hình thức nào sau đây KHÔNG phải là giao tiếp số?,Chat trực tuyến,Từ viết tắt,Thư viết tay,Lỗi hiệu năng,C,Thư viết tay
11,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Để giữ an toàn cho tài khoản email, một trong những biện pháp được khuyến nghị là gì?","""Windows 11 cannot connect to WiFi""",Tạo mật khẩu mạnh và bật bảo vệ hai lớp,Công khai địa chỉ email cá nhân ở mọi nơi,Một loại hành động có khả năng gây hại.,B,Tạo mật khẩu mạnh và bật bảo vệ hai lớp
12,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"""Netiquette"" (Phép lịch sự trên mạng) KHÔNG bao gồm nguyên tắc nào dưới đây?",Tạo ra các khu bảo tồn ảo để động vật sinh sống.,Tuân thủ mệnh lệnh từ lãnh đạo một cách tuyệt đối,Tham gia thảo luận một cách có trách nhiệm.,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.,D,Tranh luận gay gắt để bảo vệ quan điểm cá nhân.
13,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi viết email công việc, dòng tiêu đề (Subject) nên",Cung cấp bảo hành dài hạn cho tất cả các sản phẩm.,Khó khăn trong việc thay đổi thói quen của người dân.,"Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính",Giả danh một nhân vật có quyền uy để ra lệnh cho nạn nhân.,C,"Ngắn gọn, rõ ràng và phản ánh chính xác nội dung chính"
14,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Hợp tác số là gì?,Làm việc nhóm thông qua nền tảng số,Thêm các hiệu ứng đặc biệt vào nội dung,Làm việc độc lập trên máy tính,Giao tiếp qua điện thoại cá nhân,A,Làm việc nhóm thông qua nền tảng số
15,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Một lợi ích của hợp tác trong môi trường số là,Tăng thời gian xử lý công việc,"Làm việc mọi lúc, mọi nơi",Không cần người quản lý,Hạn chế chia sẻ tài liệu,B,"Làm việc mọi lúc, mọi nơi"
16,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,Việc sử dụng chữ in đậm ở một số nội dung trong giao tiếp số thường được diễn giải là,Sử dụng cùng một mật khẩu mạnh cho nhiều tài khoản.,Quyền truy cập vào dữ liệu của tất cả người dùng khác.,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý,Spear phishing sử dụng tin nhắn văn bản thay vì email.,C,Nhấn mạnh thông tin quan trọng người đọc cần lưu ý
17,Module 2. Giao tiếp và hợp tác trong môi trường số,2,1,"Khi nhận được một tin nhắn hoặc email có nội dung gây khó chịu, bạn nên",Cho phép nhiều người cùng chỉnh sửa trực tiếp mà không cần trao đổi,Cần hỏi ý kiến và nhận được đồng ý của các thành viên mới chia sẻ,"VR được sử dụng cho giải trí, trong khi AR được sử dụng cho công việc.","Tạm dừng, suy nghĩ kỹ và trả lời một cách bình tĩnh, chuyên nghiệp",D,"Tạm dừng, suy nghĩ kỹ và trả lời một cách bình tĩnh, chuyên nghiệp"
