ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,
1,Module 3. Sáng tạo nội dung số,3,1,"Theo tài liệu, mục tiêu của Module 3: ""Phát triển nội dung số"" là gì?",Trang bị khả năng phân tích mục tiêu và đối tượng người dùng.,Hướng dẫn quy trình rà soát và đánh giá tài nguyên nội dung đã có.,Phần mềm có thể xử lý lượng lớn dữ liệu một cách tự động.,Khuyến khích người dân sử dụng phương tiện giao thông công cộng.,A,Trang bị khả năng phân tích mục tiêu và đối tượng người dùng.,
2,Module 3. Sáng tạo nội dung số,3,1,"""Kim chỉ nam"" cho mọi hoạt động sáng tạo nội dung hiệu quả là gì?","Hiểu rõ ""làm nội dung cho ai?"" và ""để làm gì?"".",Nắm vững các công cụ sản xuất nội dung hiện đại.,Tác phẩm chỉ được sử dụng cho mục đích công cộng.,Tìm kiếm ngay lập tức với từ khóa đầu tiên nghĩ ra,A,"Hiểu rõ ""làm nội dung cho ai?"" và ""để làm gì?"".",
3,Module 3. Sáng tạo nội dung số,3,1,Mục tiêu nội dung số SMART bao gồm những yếu tố nào?,"Specific, Measurable, Achievable, Relevant, Time-bound.",Người tiêu dùng không biết cách xử lý các thiết bị cũ.,"Strategic, Modern, Appealing, Realistic, Thoughtful.","Short, Meaningful, Actionable, Relatable, Teachable.",A,"Specific, Measurable, Achievable, Relevant, Time-bound.",
4,Module 3. Sáng tạo nội dung số,3,1,Yếu tố nào KHÔNG thuộc 3 yếu tố chính để xây dựng Chân dung người dùng (User Persona)?,Nhân khẩu học,Windows Explorer,Diễn đàn thảo luận,Tình trạng hôn nhân,D,Tình trạng hôn nhân,
5,Module 3. Sáng tạo nội dung số,3,1,Hậu quả của việc không xác định rõ ràng mục tiêu và đối tượng là gì?,"Nội dung không tiếp cận đúng người cần, thông điệp không hiệu quả.",Gây ô nhiễm nguồn nước do sử dụng hóa chất trong quá trình khai thác.,Quyền thay đổi dữ liệu của người khác mà không cần sự cho phép.,Tham gia vào các nhóm để công kích những người có ý kiến trái chiều.,A,"Nội dung không tiếp cận đúng người cần, thông điệp không hiệu quả.",
6,Module 3. Sáng tạo nội dung số,3,1,"Chuẩn đầu ra của phần ""Phân tích mục tiêu và đối tượng"" là gì?",Sinh viên có khả năng xác định mục tiêu và đối tượng một cách rõ ràng.,"Mật mã học cần khóa để giải mã, trong khi steganography không cần.",Phục hồi hệ thống nhanh nhất có thể sau khi một cuộc tấn công xảy ra.,Tham gia vào các nhóm để công kích những người có ý kiến trái chiều.,A,Sinh viên có khả năng xác định mục tiêu và đối tượng một cách rõ ràng.,
7,Module 3. Sáng tạo nội dung số,3,1,Việc lập kế hoạch nội dung được so sánh với hoạt động nào?,Lập kế hoạch cho một chuyến đi – cần bản đồ và phương tiện.,Chỉ sử dụng các thiết bị công nghệ có thiết kế tối giản.,Đăng xuất khỏi tài khoản khi sử dụng thiết bị công cộng,Gây ra các cơn ác mộng và làm gián đoạn chu kỳ giấc ngủ.,A,Lập kế hoạch cho một chuyến đi – cần bản đồ và phương tiện.,
8,Module 3. Sáng tạo nội dung số,3,1,Kế hoạch nội dung dài hạn thường được xác định theo khung thời gian nào?,Năm,Quý/Tháng,Tuần/Ngày,Giờ,A,Năm,
9,Module 3. Sáng tạo nội dung số,3,1,Công cụ nào sau đây KHÔNG được gợi ý để hỗ trợ lập kế hoạch nội dung?,Lớp Quyết định.,Adobe Photoshop,Danh tính số,Tăng tương tác,B,Adobe Photoshop,
10,Module 3. Sáng tạo nội dung số,3,1,Ưu điểm chính của định dạng nội dung Infographic là gì?,"Trực quan, dễ chia sẻ",Được viết trước năm 2010,"Tương tác cao, hấp dẫn",Gửi email hàng loạt,A,"Trực quan, dễ chia sẻ",
